rankOfMeld1,isRun1,isRank1,length1,rankOfMeld2,isRun2,isRank2,length2,rankOfMeld3,isRun3,isRank3,length3,selfDeadwoodPoints,numTurn,multiOppScore,finalScore
9.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,14.0,9.108446708788149,6.0
9.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,16.0,5.528149750114968,6.0
9.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,18.0,5.6028734711439965,6.0
9.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,20.0,-11.323633750472348,-28.0
4.0,1.0,0.0,3.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,15.0,-11.914808422712364,-30.0
5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,8.0,0.0,1.0,3.0,2.0,10.0,13.909968944033597,16.0
5.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,8.0,0.0,1.0,3.0,2.0,12.0,11.280296653232787,16.0
4.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,30.0,5.325531020089413,2.0
4.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,32.0,4.297728975681051,3.0
4.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,34.0,4.771366004636328,3.0
1.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,16.0,15.916059944837404,1.0
1.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,18.0,14.915451167046134,-25.0
1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,20.0,5.503778469063698,1.0
1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,22.0,4.342771330923232,1.0
1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,24.0,-12.644017533536616,1.0
1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,26.0,-5.6632195123271085,1.0
1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,28.0,-5.305989856250104,1.0
7.0,1.0,0.0,4.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,13.0,15.727272727272727,22.0
7.0,1.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,15.0,5.909090909090907,22.0
7.0,1.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,17.0,-18.545454545454547,16.0
7.0,1.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,19.0,2.2463609250546317,11.0
7.0,1.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,21.0,-27.46681345822659,-27.0
1.0,1.0,0.0,5.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,-7.707433913063983,2.0
1.0,1.0,0.0,5.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,25.0,-0.05580771544897537,2.0
1.0,1.0,0.0,5.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,27.0,-0.1664542422039201,2.0
1.0,1.0,0.0,5.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,29.0,-0.1283751012905655,2.0
1.0,1.0,0.0,5.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,31.0,0.38410876658810783,1.0
1.0,1.0,0.0,5.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,33.0,1.9078023410085607,1.0
1.0,0.0,1.0,4.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,29.0,-15.634890710197025,1.0
0.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,9.0,0.0,1.0,3.0,4.0,10.0,22.54545454545454,33.0
0.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,9.0,0.0,1.0,3.0,4.0,12.0,4.440216976086789,17.0
0.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,9.0,0.0,1.0,3.0,3.0,14.0,9.235163912867453,17.0
0.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,9.0,0.0,1.0,3.0,3.0,16.0,-5.020285920715384,14.0
0.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,9.0,0.0,1.0,3.0,3.0,18.0,6.2355560957674525,8.0
0.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,9.0,0.0,1.0,3.0,3.0,20.0,-2.3618639786210887,4.0
0.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,9.0,0.0,1.0,3.0,3.0,22.0,-2.325800643821565,4.0
0.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,9.0,0.0,1.0,3.0,3.0,24.0,-2.2857821986466242,4.0
0.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,9.0,0.0,1.0,3.0,3.0,26.0,1.1790695804738864,4.0
0.0,0.0,1.0,4.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,4.0,24.730093639030624,14.0
0.0,0.0,1.0,4.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,6.0,-7.625239774324376,-31.0
0.0,0.0,1.0,4.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,8.0,-7.87828484407527,-32.0
4.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,5.0,15.0,16.803029140337213,-25.0
5.0,1.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,18.0,5.793355965274498,5.0
5.0,1.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,20.0,-3.7356027788685875,7.0
5.0,1.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,22.0,-24.00969774418953,7.0
5.0,1.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,24.0,0.858294538362372,2.0
5.0,1.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,26.0,-1.3481479833754102,2.0
5.0,1.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,28.0,-26.77579820311287,2.0
5.0,1.0,0.0,5.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,30.0,-25.90160315914512,-26.0
2.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,12.0,13.755527286968892,13.0
2.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,14.0,18.84384359371127,2.0
2.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,16.0,-3.7120369331500487,2.0
6.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,18.0,5.72421086045104,7.0
6.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,20.0,-2.0320195750942767,2.0
6.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,22.0,-16.095679307968293,2.0
6.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,24.0,-15.951835619814668,2.0
4.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,9.0,-9.552653353948415,18.0
4.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,11.0,-9.691901663647453,18.0
0.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,2.0,13.0,15.468307643119203,22.0
0.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,2.0,15.0,16.72211968148827,13.0
0.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,2.0,17.0,16.61377866635274,13.0
3.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,19.0,20.713585300156726,14.0
3.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,21.0,-6.076190920728183,6.0
3.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,23.0,-6.0228409699437355,6.0
3.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,25.0,-5.966958300377933,6.0
3.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,27.0,-5.8329467722929325,-26.0
3.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,29.0,-12.121361141378367,-26.0
3.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,31.0,-2.891597376698725,-26.0
8.0,0.0,1.0,4.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,8.0,3.727176886228165,19.0
8.0,0.0,1.0,4.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,10.0,7.784684175202902,20.0
8.0,0.0,1.0,4.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,12.0,-7.309831477092199,3.0
8.0,0.0,1.0,4.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,14.0,-27.632603519080444,3.0
