playerID,opponentID,gameID,roundID,numSelfTurnsToKnock,numOppTurnsToKnock,numSelfFaceUpCardsDrawn,numOppFaceUpCardsDrawn,numSelfMeldsAtKnock,numSelfRunMeldsAtKnock,numSelfRankMeldsAtKnock,numOppMeldsAtKnock,numOppRunMeldsAtKnock,numOppRankMeldsAtKnock
0,1,49,356,12,0,0,3,2,1,1,2,1,1
0,1,49,357,10,0,1,1,1,1,0,2,0,2
0,1,49,358,9,0,2,1,2,0,2,1,0,1
0,2,50,359,4,0,0,0,2,1,1,1,1,0
0,2,50,360,7,0,1,4,2,0,2,1,0,1
0,2,50,361,7,0,1,3,2,1,1,1,0,1
0,2,50,362,10,0,1,4,2,1,1,2,1,1
0,2,51,363,0,4,0,3,0,0,0,2,2,0
0,2,51,364,6,0,1,3,2,2,0,1,1,0
0,2,51,365,7,0,2,5,2,0,2,2,0,2
0,2,52,366,9,0,1,1,2,0,2,2,1,1
0,2,52,367,6,0,2,3,3,2,1,2,0,2
0,2,52,368,11,0,1,2,2,2,0,2,1,1
0,2,52,369,9,0,2,5,2,0,2,1,0,1
0,2,52,370,11,0,2,5,2,1,1,2,2,0
0,2,52,371,11,0,2,4,2,2,0,2,1,1
0,2,53,372,10,0,4,3,3,2,1,2,1,1
0,2,53,373,0,10,1,3,2,0,2,3,0,3
0,2,53,374,9,0,1,2,2,1,1,2,1,1
0,2,53,375,13,0,1,4,3,2,1,2,2,0
0,2,53,376,11,0,3,0,2,0,2,2,1,1
0,2,54,377,14,0,2,5,3,2,1,2,1,1
0,2,54,378,0,11,1,1,1,1,0,3,1,2
0,2,54,379,11,0,1,1,2,0,2,2,0,2
0,2,54,380,8,0,1,2,2,0,2,2,0,2
0,2,54,381,11,0,3,4,2,1,1,3,2,1
0,2,54,382,5,0,1,2,3,1,2,1,1,0
0,2,55,383,0,14,2,3,1,1,0,3,1,2
0,2,55,384,11,0,3,3,2,1,1,2,0,2
0,2,55,385,15,0,0,3,2,2,0,2,1,1
0,2,56,386,2,0,0,1,2,1,1,0,0,0
0,2,56,387,7,0,2,2,2,1,1,2,1,1
0,2,56,388,6,0,1,3,1,1,0,3,1,2
0,2,56,389,6,0,2,3,3,1,2,1,0,1
0,2,56,390,12,0,1,1,3,2,1,3,0,3
0,2,57,391,3,0,1,1,2,2,0,1,0,1
0,2,57,392,7,0,2,4,2,0,2,2,1,1
0,2,57,393,0,10,2,2,1,1,0,3,2,1
0,2,57,394,10,0,0,2,2,2,0,2,1,1
0,2,57,395,8,0,2,4,2,2,0,2,0,2
0,2,57,396,7,0,1,3,2,2,0,1,0,1
0,2,58,397,2,0,2,0,2,0,2,1,0,1
0,2,58,398,8,0,2,4,2,1,1,2,0,2
0,2,58,399,6,0,0,1,3,1,2,2,1,1
0,2,58,400,11,0,2,3,2,0,2,2,1,1
0,2,58,401,5,0,1,1,2,0,2,2,2,0
0,2,58,402,10,0,0,3,2,0,2,2,0,2
0,2,59,403,0,5,2,3,2,1,1,3,0,3
0,2,59,404,10,0,3,4,3,1,2,2,0,2
0,2,59,405,7,0,1,1,2,0,2,2,0,2
0,2,59,406,5,0,3,1,2,0,2,1,1,0
0,2,59,407,0,16,4,3,2,0,2,3,1,2
0,2,60,408,9,0,3,3,2,0,2,2,0,2
0,2,60,409,0,13,2,4,2,0,2,3,0,3
0,2,60,410,0,6,2,5,2,0,2,3,1,2
0,2,61,411,7,0,3,1,2,2,0,1,1,0
0,2,61,412,9,0,1,4,2,1,1,3,1,2
0,2,61,413,9,0,1,0,2,1,1,1,0,1
0,2,61,414,9,0,2,4,3,1,2,2,2,0
0,2,61,415,0,8,1,2,2,1,1,3,0,3
0,2,61,416,11,0,3,3,3,0,3,2,1,1
0,2,61,417,6,0,2,1,2,2,0,1,1,0
0,2,61,418,11,0,3,2,2,1,1,2,0,2
0,2,61,419,7,0,1,3,3,1,2,2,0,2
0,2,62,420,0,10,2,3,2,0,2,3,0,3
0,2,62,421,7,0,0,2,3,1,2,2,1,1
0,2,62,422,0,12,3,4,2,0,2,3,2,1
0,2,62,423,8,0,3,3,3,0,3,2,0,2
0,2,62,424,10,0,2,3,2,0,2,2,0,2
0,2,63,425,0,5,0,2,1,0,1,3,0,3
0,2,63,426,13,0,1,2,2,1,1,1,0,1
0,2,63,427,0,8,1,4,1,1,0,3,1,2
0,2,63,428,7,0,3,2,2,2,0,1,0,1
0,2,63,429,9,0,2,3,2,1,1,2,1,1
0,2,63,430,7,0,3,5,2,1,1,1,0,1
0,2,63,431,9,0,1,2,2,1,1,2,2,0
0,2,64,432,8,0,1,4,2,2,0,1,1,0
0,2,64,433,8,0,1,2,3,1,2,3,2,1
0,2,64,434,7,0,1,2,3,0,3,2,1,1
